Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Georeference
OLD FORGE,COUNTY OFFICE,3153693301,,183 PARK AVENUE,,OLD FORGE,NY,13420,,,,,,,,,8:00 AM,4:00 PM,,,POINT (-74.9735 43.70857)
LOWER MANHATTAN - GREENWICH ST.,DISTRICT OFFICE,7189666155,,11 GREENWICH STREET,,NEW YORK,NY,10004,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-74.01482 40.7052)
LICENSE EXPRESS,DISTRICT OFFICE,7189666155,,145 WEST 30TH STREET,,NEW YORK,NY,10001,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.99171 40.74816)
BELMONT,COUNTY OFFICE,5852689267,,7 COURT STREET,COURT HOUSE,BELMONT,NY,14813,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,POINT (-78.03414 42.22439)
DIX HILLS,DISTRICT OFFICE,7184774820,,1815 E JERICHO TURNPIKE,,DIX HILLS,NY,11743,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.33521 40.83611)
MIDTOWN MANHATTAN KIOSK,DISTRICT OFFICE,,,366 WEST 31ST STREET,,NEW YORK,NY,10001,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.99747 40.7514)
MONTICELLO,COUNTY OFFICE,8457943872,,100 NORTH STREET,COUNTY GOVERNMENT CENTER,MONTICELLO,NY,12701,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,POINT (-74.69185 41.65779)
SCHOHARIE,COUNTY OFFICE,5182958317,,284 MAIN ST.,,SCHOHARIE,NY,12157,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-74.31226 42.66373)
MASSENA,COUNTY OFFICE,3157641727,,21 HARROWGATE COMMONS,,MASSENA,NY,13662,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,POINT (-74.89309 44.9224)
JAMAICA,DISTRICT OFFICE,7189666155,,"168-46 91ST AVE., 2ND FLR",,JAMAICA,NY,11432,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.79219 40.70742)
WASHINGTON COUNTY MOBILE,MOBILE OFFICE,5187462163,,383 BROADWAY,(HEADQUARTERS),FORT EDWARD,NY,12828,,,,,9:30 AM,3:00 PM,,,,,,,POINT (-73.58661 43.28845)
NORTH SYRACUSE KIOSK,DISTRICT OFFICE,,,5801 E. TAFT ROAD,,NORTH SYRACUSE,NY,13212,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-76.11707 43.12499)
RICHMOND,DISTRICT OFFICE,7189666155,,1775 SOUTH AVENUE,WEST SHORE SHOPPING PLAZA,STATEN ISLAND,NY,10314,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-74.19306 40.60161)
ROCHESTER DOWNTOWN,COUNTY OFFICE,5857531604,,200 E. MAIN STREET,STE. 101,ROCHESTER,NY,14604,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,POINT (-77.60697 43.15701)
BALLSTON SPA,COUNTY OFFICE,5188852227,,40 MCMASTER STREET,,BALLSTON SPA,NY,12020,9:15 AM,4:45 PM,9:15 AM,4:45 PM,9:15 AM,4:45 PM,9:15 AM,4:45 PM,9:15 AM,4:45 PM,,,POINT (-73.85043 42.99873)
LONG ISLAND WELCOME CENTER KIOSK,DISTRICT OFFICE,,,5100 LONG ISLAND EXPY,LONG ISLAND WELCOME CTR,DIX HILLS,NY,11743,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,,,
YONKERS KIOSK,DISTRICT OFFICE,,,1 LARKIN PLAZA,,YONKERS,NY,10701,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.90211 40.93536)
DELEVAN,COUNTY OFFICE,7164923750,,46 NORTH MAIN ST,,DELEVAN,NY,14042,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,POINT (-78.48028 42.49087)
WEST SENECA - SOUTHGATE PLAZA,COUNTY OFFICE,7168587450,,1088-B UNION ROAD,,WEST SENECA,NY,14224,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-78.75346 42.82838)
OGDENSBURG,COUNTY OFFICE,3153935386,,206-210 FORD STREET,,OGDENSBURG,NY,13669,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,POINT (-75.49377 44.69719)
PORT JEFFERSON,DISTRICT OFFICE,7184774820,,1055 ROUTE 112,,PORT JEFFERSON,NY,11776,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.04503 40.92327)
SULLIVAN COUNTY MOBILE,MOBILE OFFICE,8457943872,,100 NORTH ST.,(HEADQUARTERS),MONTICELLO,NY,12701,,,10:00 AM,3:00 PM,,,10:00 AM,3:00 PM,,,,,POINT (-74.69185 41.65779)
FONDA,COUNTY OFFICE,5188538126,,64 BROADWAY,COUNTY OFFICE BUILDING,FONDA,NY,12068,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,8:30 AM,3:30 PM,,,POINT (-74.38109 42.95747)
HORNELL,COUNTY OFFICE,6072813605,,"7604 SENECA RD N, SUITE B",,HORNELL,NY,14843,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,POINT (-77.67336 42.36986)
BROOKLYN - ATLANTIC CENTER KIOSK,DISTRICT OFFICE,,,625 ATLANTIC AVE 2ND FL,,BROOKLYN,NY,11217,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.9741 40.68311)
ULSTER COUNTY MOBILE,MOBILE OFFICE,8453403700,,240 FAIR ST,(HEADQUARTERS),KINGSTON,NY,12401,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,,,POINT (-74.01769 41.93231)
MELVILLE VEHICLE SAFETY,VEHICLE SAFETY,6317703003,,1800 OLD WALT  WHITMAN RD,SUITE 150,MELVILLE,NY,11747,8:00AM,4:00 PM,8:00AM,4:00 PM,8:00 AM,4:00 PM,8:00AM,4:00 PM,8:00AM,4:00 PM,,,POINT (-73.42756 40.76955)
GARDEN CITY,DISTRICT OFFICE,7184774820,,400 OAK ST,,GARDEN CITY,NY,11530,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.60698 40.72681)
JAMAICA KIOSK,DISTRICT OFFICE,,,"168-46 91ST AVE., 2ND FLR",,JAMAICA,NY,11432,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.79219 40.70742)
BRONX T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,696 EAST FORDHAM ROAD,,BRONX,NY,10458,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-73.88208 40.85744)
QUEENS NORTH T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,30-56 WHITESTONE EXPY,2ND FLOOR,FLUSHING,NY,11354,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-73.83735 40.77031)
COLLEGE POINT KIOSK,DISTRICT OFFICE,,,30-56 WHITESTONE EXPY,,FLUSHING,NY,11354,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.83735 40.77031)
WARSAW,COUNTY OFFICE,5857868811,,6 PERRY AVENUE,,WARSAW,NY,14569,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-78.1347 42.74076)
BREWSTER,COUNTY OFFICE,8452782838,,1 GENEVA ROAD,,BREWSTER,NY,10509,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,POINT (-73.62545 41.42917)
KINGSTON,COUNTY OFFICE,8453403700,,244 FAIR STREET,,KINGSTON,NY,12401,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,6:30 PM,8:00 AM,4:45 PM,,,POINT (-74.01786 41.93259)
SPRINGFIELD GARDENS,DISTRICT OFFICE,7189666155,,168-35 ROCKAWAY BLVD,,JAMAICA,NY,11434,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.7713 40.65871)
ELMIRA,COUNTY OFFICE,6077375470,,425-477 PENNSYLVANIA AVE.,,ELMIRA,NY,14904,8:30 AM,4:15 PM,8:30 AM,6:00 PM,8:30 AM,4:15 PM,8:30 AM,6:00 PM,8:30 AM,4:15 PM,,,POINT (-76.80295 42.07833)
MILLBROOK,COUNTY OFFICE,8456774080,,15 MERRITT AVENUE,,MILLBROOK,NY,12545,9:00 AM,4:45 PM,,,9:00 AM,4:45 PM,,,9:00 AM,4:45 PM,,,POINT (-73.6944 41.78616)
MANHATTAN SOUTH T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,17 BATTERY PLACE,10TH FLOOR,NEW YORK,NY,10004,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-74.01598 40.70491)
N SYRACUSE VEHICLE SAFETY,VEHICLE SAFETY,3154586683,,5801 EAST TAFT ROAD,,N. SYRACUSE,NY,13212,8:00 AM,4:00PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,POINT (-76.11707 43.12499)
DIX HILLS KIOSK,DISTRICT OFFICE,,,1815 E JERICHO TURNPIKE,,DIX HILLS,NY,11743,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.33521 40.83611)
BUFFALO VEHICLE SAFETY,VEHICLE SAFETY,7168263187,,334 DINGENS STREET,,BUFFALO,NY,14206,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,8:00AM,4:00PM,,,POINT (-78.80366 42.87777)
WATERTOWN,COUNTY OFFICE,3157853023,,175 ARSENAL STREET,,WATERTOWN,NY,13601,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:45 PM,9:00 AM,4:30 PM,,,POINT (-75.91354 43.97568)
GOUVERNEUR,COUNTY OFFICE,3152877034,,1227 US HIGHWAY 11,,GOUVERNEUR,NY,13642,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,POINT (-75.48089 44.32487)
OLEAN,COUNTY OFFICE,7167013348,,1 LEO MOSS DR.,SUITE 1412,OLEAN,NY,14760,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,POINT (-78.45055 42.08623)
SCHENECTADY,COUNTY OFFICE,5183819181,,2025 STATE STREET,,SCHENECTADY,NY,12305,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,POINT (-73.8981 42.77514)
BROOKLYN SOUTH T V B,TRAFFIC VIOLATIONS BUREAU,7184885710,,2875 WEST 8TH STREET,,BROOKLYN,NY,11224,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,POINT (-73.97631 40.57789)
BETHPAGE,DISTRICT OFFICE,7184774820,,4031 HEMPSTEAD TURNPIKE,,BETHPAGE,NY,11714-560,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.48717 40.72531)
LATHAM VEHICLE SAFETY,VEHICLE SAFETY,5187837062,,175 SPARROWBUSH ROAD,,LATHAM,NY,12110,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30 PM,8:30AM,4:30PM,,,POINT (-73.7586 42.75791)
PEEKSKILL,DISTRICT OFFICE,7184774820,,1045 PARK STREET,,PEEKSKILL,NY,10566,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.91843 41.29052)
HARLEM POWELL SOB,MOBILE OFFICE,,,163 W 125TH ST,ADAM CLAYTON POWELL JR. S,NEW YORK,NY,10027,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.94807 40.80886)
LOWER MANHATTAN - GREENWICH ST. KIOSK,DISTRICT OFFICE,,,11 GREENWICH STREET,,NEW YORK,NY,10004,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-74.01482 40.7052)
UTICA,COUNTY OFFICE,3157985749,,321 MAIN STREET,,UTICA,NY,13501,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,,,POINT (-75.22365 43.10382)
DELHI,COUNTY OFFICE,6078325222,,1 COURT HOUSE SQUARE,SUITE 1,DELHI,NY,13753,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-74.91679 42.27748)
YONKERS VEHICLE SAFETY,VEHICLE SAFETY,9149657766,,1 LARKIN PLAZA,,YONKERS,NY,10701,8:30AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-73.90211 40.93536)
SYRACUSE,DISTRICT OFFICE,5184869786,,4671 ONONDAGA BLVD,WESTERN LIGHTS PLAZA,SYRACUSE,NY,13219,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-76.19374 43.03231)
COLLEGE POINT,DISTRICT OFFICE,7189666155,,30-56 WHITESTONE EXPY,,FLUSHING,NY,11354,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.83735 40.77031)
GARDEN CITY KIOSK,DISTRICT OFFICE,,,400 OAK ST,,GARDEN CITY,NY,11530,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.60698 40.72681)
BROOKLYN - CONEY ISLAND,DISTRICT OFFICE,7189666155,,2875 W. 8TH STREET,,BROOKLYN,NY,11224,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.97631 40.57789)
NORTH SYRACUSE,DISTRICT OFFICE,5184869786,,5801 E. TAFT ROAD,,NORTH SYRACUSE,NY,13212,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-76.11707 43.12499)
BATAVIA,COUNTY OFFICE,5853442550,2247,15 MAIN STREET,,BATAVIA,NY,14020,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-78.18624 42.99794)
QUEENS COLLEGE,MOBILE OFFICE,,,65-21 MAIN ST,"QUEENS COLLG, QUEENS HALL",FLUSHING,NY,11367,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,,,POINT (-73.82506 40.73641)
ROME,COUNTY OFFICE,3153366790,,301 WEST DOMINICK STREET,,ROME,NY,13440,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,10:00 AM,6:00 PM,9:00 AM,4:30 PM,,,POINT (-75.46203 43.21296)
LOCKPORT,COUNTY OFFICE,7164384000,,111 MAIN STREET,,LOCKPORT,NY,14095,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:30 PM,9:00 AM,4:30 PM,,,POINT (-78.6895 43.17054)
MEDFORD KIOSK,DISTRICT OFFICE,,,2799 ROUTE 112,SUITE 1,MEDFORD,NY,11763,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-72.99517 40.82677)
RICHMOND KIOSK,DISTRICT OFFICE,,,1775 SOUTH AVENUE,WEST SHORE SHOPPING PLAZA,STATEN ISLAND,NY,10314,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-74.19306 40.60161)
EVANS,COUNTY OFFICE,7168587450,,6853 ERIE RD,,DERBY,NY,14006,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,POINT (-78.98184 42.70051)
BRONX REGISTRATION CENTER KIOSK,DISTRICT OFFICE,,,696 EAST FORDHAM ROAD,,BRONX,NY,10458,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.88208 40.85744)
WHITE PLAINS,DISTRICT OFFICE,7184774820,,1 MAPLE AVENUE,,WHITE PLAINS,NY,10601,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.75963 41.02832)
JAMAICA VEHICLE SAFETY,VEHICLE SAFETY,7185268546,,92-11 179TH PLACE,,JAMAICA,NY,11433,8:45AM,4:00PM,8:45AM,4:00PM,8:45AM,4:00PM,8:45AM,4:00PM,8:45AM,4:00PM,,,POINT (-73.78179 40.70799)
HERKIMER,COUNTY OFFICE,3158671130,,109 MARY STREET,SUITE 1111,HERKIMER,NY,13350,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,POINT (-74.98796 43.02868)
MASSAPEQUA KIOSK,DISTRICT OFFICE,,,927 CARMANS ROAD,CARMANS PLZ. SHOPPING CTR,MASSAPEQUA,NY,11758,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.43296 40.70128)
OAK STREET KIOSK,DISTRICT OFFICE,,,400 OAK STREET,,GARDEN CITY,NY,11530,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.60698 40.72681)
PLATTSBURGH,COUNTY OFFICE,5185654785,,137 MARGARET STREET,,PLATTSBURGH,NY,12901,8:00 AM,3:30 PM,8:00 AM,3:30 PM,8:00 AM,3:30 PM,8:00 AM,3:30 PM,8:00 AM,3:30 PM,,,POINT (-73.45304 44.69923)
LOWVILLE,COUNTY OFFICE,3153765331,,7513 E STATE ST,,LOWVILLE,NY,13367,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,POINT (-75.47775 43.78232)
MOHAWK WELCOME CENTER KIOSK,DISTRICT OFFICE,,,I90 WESTBOUND MILEPOST187,MOHAWK VALLEY WELCOME CTR,FULTONVILLE,NY,12072,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,24 HOURS,
